时间单元,频率单元
69,76
69,77
70,20
70,21
70,22
70,40
70,41
70,42
70,43
70,44
70,45
70,46
70,47
70,48
70,49
70,57
70,58
70,59
70,60
70,61
70,62
70,63
70,64
70,65
70,66
70,67
70,68
70,69
70,70
70,71
70,75
70,76
70,77
70,93
70,94
70,95
71,20
71,21
71,22
71,40
71,41
71,42
71,43
71,44
71,45
71,46
71,47
71,48
71,49
71,54
71,55
71,56
71,57
71,58
71,59
71,60
71,61
71,62
71,63
71,64
71,65
71,66
71,67
71,68
71,69
71,70
71,71
71,93
71,94
71,95
72,20
72,21
72,22
72,32
72,33
72,34
72,40
72,41
72,42
72,43
72,44
72,45
72,46
72,47
72,48
72,49
72,54
72,55
72,56
72,57
72,58
72,59
72,60
72,61
72,62
72,63
72,64
72,65
72,66
72,67
72,68
72,69
72,70
72,71
73,32
73,33
73,34
73,40
73,41
73,42
73,43
73,44
73,45
73,46
73,47
73,48
73,49
73,54
73,55
73,56
73,57
73,58
73,59
73,60
73,61
73,62
73,63
73,64
73,65
73,66
73,67
73,68
73,69
73,70
73,71
74,2
74,3
74,4
74,54
74,55
74,56
74,57
74,58
74,59
74,60
74,61
74,62
74,63
74,64
74,65
74,66
74,67
74,68
74,69
74,70
74,71
75,2
75,3
75,4
75,30
75,31
75,32
75,33
75,34
75,35
75,36
75,37
75,38
75,39
75,53
75,54
75,55
75,57
75,58
75,59
75,60
75,61
75,62
75,63
75,64
75,65
75,66
75,67
75,68
75,69
75,70
75,71
75,75
75,76
75,77
75,93
75,94
75,95
76,30
76,31
76,32
76,33
76,34
76,35
76,36
76,37
76,38
76,39
76,53
76,54
76,55
76,75
76,76
76,77
76,93
76,94
76,95
77,30
77,31
77,32
77,33
77,34
77,35
77,36
77,37
77,38
77,39
77,75
77,76
77,77
78,2
78,3
78,4
78,30
78,31
78,32
78,33
78,34
78,35
78,36
78,37
78,38
78,39
78,75
78,76
78,77
79,2
79,3
79,4
79,20
79,21
79,22
79,30
79,31
79,32
79,33
79,34
79,35
79,36
79,37
79,38
79,39
79,75
79,76
79,77
80,20
80,21
80,22
80,75
80,76
80,77
80,93
80,94
80,95
80,96
80,97
80,98
81,20
81,21
81,22
81,54
81,55
81,56
81,93
81,94
81,95
81,96
81,97
81,98
82,20
82,21
82,22
82,32
82,33
82,34
82,54
82,55
82,56
83,32
83,33
83,34
83,54
83,55
83,56
84,2
84,3
84,4
84,54
84,55
84,56
85,2
85,3
85,4
85,35
85,36
85,37
85,38
85,39
85,40
85,41
85,42
85,43
85,44
85,45
85,46
85,47
85,48
85,49
85,53
85,54
85,55
85,75
85,76
85,77
85,93
85,94
85,95
86,2
86,3
86,4
86,35
86,36
86,37
86,38
86,39
86,40
86,41
86,42
86,43
86,44
86,45
86,46
86,47
86,48
86,49
86,53
86,54
86,55
86,75
86,76
86,77
86,93
86,94
86,95
87,2
87,3
87,4
87,35
87,36
87,37
87,38
87,39
87,40
87,41
87,42
87,43
87,44
87,45
87,46
87,47
87,48
87,49
87,75
87,76
87,77
88,2
88,3
88,4
88,30
88,31
88,32
88,33
88,34
88,35
88,36
88,37
88,38
88,39
88,40
88,41
88,42
88,43
88,44
88,50
88,51
88,52
88,75
88,76
88,77
89,2
89,3
89,4
89,20
89,21
89,22
89,30
89,31
89,32
89,33
89,34
89,35
89,36
89,37
89,38
89,39
89,40
89,41
89,42
89,43
89,44
89,50
89,51
89,52
89,75
89,76
89,77
90,20
90,21
90,22
90,30
90,31
90,32
90,33
90,34
90,35
90,36
90,37
90,38
90,39
90,40
90,41
90,42
90,43
90,44
90,75
90,76
90,77
90,93
90,94
90,95
90,96
90,97
90,98
91,20
91,21
91,22
91,54
91,55
91,56
91,93
91,94
91,95
91,96
91,97
91,98
92,20
92,21
92,22
92,32
92,33
92,34
92,54
92,55
92,56
92,72
92,73
92,74
93,32
93,33
93,34
93,54
93,55
93,56
93,72
93,73
93,74
94,2
94,3
94,4
94,54
94,55
94,56
95,2
95,3
95,4
95,27
95,28
95,29
95,53
95,54
95,55
95,75
95,76
95,77
95,78
95,79
95,80
95,81
95,82
95,83
95,84
95,85
95,86
95,87
95,88
95,89
95,90
95,91
95,92
95,93
95,94
95,95
96,2
96,3
96,4
96,27
96,28
96,29
96,53
96,54
96,55
96,75
96,76
96,77
96,78
96,79
96,80
96,81
96,82
96,83
96,84
96,85
96,86
96,87
96,88
96,89
96,90
96,91
96,92
96,93
96,94
96,95
97,2
97,3
97,4
97,75
97,76
97,77
97,78
97,79
97,80
97,81
97,82
97,83
97,84
97,85
97,86
97,87
97,88
97,89
97,90
97,91
97,92
98,2
98,3
98,4
98,50
98,51
98,52
98,75
98,76
98,77
99,2
99,3
99,4
99,20
99,21
99,22
99,50
99,51
99,52
99,75
99,76
99,77
100,20
100,21
100,22
100,35
100,36
100,37
100,38
100,39
100,40
100,41
100,42
100,43
100,44
100,75
100,76
100,77
100,93
100,94
100,95
100,96
100,97
100,98
101,20
101,21
101,22
101,35
101,36
101,37
101,38
101,39
101,40
101,41
101,42
101,43
101,44
101,54
101,55
101,56
101,78
101,79
101,80
101,81
101,82
101,83
101,84
101,85
101,86
101,87
101,88
101,89
101,90
101,91
101,92
101,93
101,94
101,95
101,96
101,97
101,98
102,5
102,6
102,7
102,8
102,9
102,10
102,11
102,12
102,13
102,14
102,15
102,16
102,17
102,18
102,19
102,20
102,21
102,22
102,32
102,33
102,34
102,35
102,36
102,37
102,38
102,39
102,40
102,41
102,42
102,43
102,44
102,54
102,55
102,56
102,72
102,73
102,74
102,78
102,79
102,80
102,81
102,82
102,83
102,84
102,85
102,86
102,87
102,88
102,89
102,90
102,91
102,92
103,5
103,6
103,7
103,8
103,9
103,10
103,11
103,12
103,13
103,14
103,15
103,16
103,17
103,18
103,19
103,20
103,21
103,22
103,32
103,33
103,34
103,35
103,36
103,37
103,38
103,39
103,40
103,41
103,42
103,43
103,44
103,54
103,55
103,56
103,72
103,73
103,74
103,78
103,79
103,80
103,81
103,82
103,83
103,84
103,85
103,86
103,87
103,88
103,89
103,90
103,91
103,92
104,2
104,3
104,4
104,5
104,6
104,7
104,8
104,9
104,10
104,11
104,12
104,13
104,14
104,15
104,16
104,17
104,18
104,19
104,20
104,21
104,22
104,35
104,36
104,37
104,38
104,39
104,40
104,41
104,42
104,43
104,44
104,54
104,55
104,56
104,80
104,81
104,82
104,83
104,84
104,85
104,86
104,87
104,88
104,89
105,2
105,3
105,4
105,27
105,28
105,29
105,53
105,54
105,55
105,57
105,58
105,59
105,60
105,61
105,62
105,63
105,64
105,65
105,66
105,67
105,68
105,69
105,70
105,71
105,75
105,76
105,77
105,80
105,81
105,82
105,83
105,84
105,85
105,86
105,87
105,88
105,89
105,93
105,94
105,95
106,2
106,3
106,4
106,27
106,28
106,29
106,53
106,54
106,55
106,57
106,58
106,59
106,60
106,61
106,62
106,63
106,64
106,65
106,66
106,67
106,68
106,69
106,70
106,71
106,75
106,76
106,77
106,80
106,81
106,82
106,83
106,84
106,85
106,86
106,87
106,88
106,89
106,93
106,94
106,95
107,2
107,3
107,4
107,5
107,6
107,7
107,8
107,9
107,10
107,11
107,12
107,13
107,14
107,15
107,16
107,17
107,18
107,19
107,57
107,58
107,59
107,60
107,61
107,62
107,63
107,64
107,65
107,66
107,67
107,68
107,69
107,70
107,71
107,75
107,76
107,77
107,80
107,81
107,82
107,83
107,84
107,85
107,86
107,87
107,88
107,89
108,2
108,3
108,4
108,5
108,6
108,7
108,8
108,9
108,10
108,11
108,12
108,13
108,14
108,15
108,16
108,17
108,18
108,19
108,50
108,51
108,52
108,75
108,76
108,77
108,80
108,81
108,82
108,83
108,84
108,85
108,86
108,87
108,88
108,89
109,2
109,3
109,4
109,5
109,6
109,7
109,8
109,9
109,10
109,11
109,12
109,13
109,14
109,15
109,16
109,17
109,18
109,19
109,20
109,21
109,22
109,50
109,51
109,52
109,75
109,76
109,77
110,5
110,6
110,7
110,8
110,9
110,10
110,11
110,12
110,13
110,14
110,20
110,21
110,22
110,75
110,76
110,77
110,93
110,94
110,95
110,96
110,97
110,98
111,5
111,6
111,7
111,8
111,9
111,10
111,11
111,12
111,13
111,14
111,20
111,21
111,22
111,54
111,55
111,56
111,93
111,94
111,95
111,96
111,97
111,98
112,5
112,6
112,7
112,8
112,9
112,10
112,11
112,12
112,13
112,14
112,20
112,21
112,22
112,32
112,33
112,34
112,54
112,55
112,56
112,72
112,73
112,74
113,5
113,6
113,7
113,8
113,9
113,10
113,11
113,12
113,13
113,14
113,20
113,21
113,22
113,32
113,33
113,34
113,54
113,55
113,56
113,57
113,58
113,59
113,60
113,61
113,62
113,63
113,64
113,65
113,66
113,67
113,68
113,69
113,70
113,71
113,72
113,73
113,74
114,2
114,3
114,4
114,5
114,6
114,7
114,8
114,9
114,10
114,11
114,12
114,13
114,14
114,20
114,21
114,22
114,50
114,51
114,52
114,54
114,55
114,56
114,57
114,58
114,59
114,60
114,61
114,62
114,63
114,64
114,65
114,66
114,67
114,68
114,69
114,70
114,71
115,2
115,3
115,4
115,27
115,28
115,29
115,50
115,51
115,52
115,53
115,54
115,55
115,57
115,58
115,59
115,60
115,61
115,62
115,63
115,64
115,65
115,66
115,67
115,68
115,69
115,70
115,71
115,75
115,76
115,77
115,93
115,94
115,95
116,2
116,3
116,4
116,27
116,28
116,29
116,53
116,54
116,55
116,57
116,58
116,59
116,60
116,61
116,62
116,63
116,64
116,65
116,66
116,67
116,68
116,69
116,70
116,71
116,75
116,76
116,77
116,93
116,94
116,95
117,2
117,3
117,4
117,57
117,58
117,59
117,60
117,61
117,62
117,63
117,64
117,65
117,66
117,67
117,68
117,69
117,70
117,71
117,75
117,76
117,77
118,2
118,3
118,4
118,50
118,51
118,52
118,57
118,58
118,59
118,60
118,61
118,62
118,63
118,64
118,65
118,66
118,67
118,68
118,69
118,70
118,71
118,75
118,76
118,77
119,2
119,3
119,4
119,20
119,21
119,22
119,50
119,51
119,52
119,75
119,76
119,77
120,20
120,21
120,22
120,75
120,76
120,77
120,93
120,94
120,95
120,96
120,97
120,98
121,20
121,21
121,22
121,54
121,55
121,56
121,93
121,94
121,95
121,96
121,97
121,98
122,2
122,3
122,4
122,20
122,21
122,22
122,54
122,55
122,56
122,72
122,73
122,74
123,2
123,3
123,4
123,20
123,21
123,22
123,54
123,55
123,56
123,72
123,73
123,74
124,2
124,3
124,4
124,5
124,6
124,7
124,8
124,9
124,10
124,11
124,12
124,13
124,14
124,15
124,16
124,17
124,18
124,19
124,20
124,21
124,22
124,50
124,51
124,52
124,54
124,55
124,56
125,2
125,3
125,4
125,5
125,6
125,7
125,8
125,9
125,10
125,11
125,12
125,13
125,14
125,15
125,16
125,17
125,18
125,19
125,27
125,28
125,29
125,50
125,51
125,52
125,53
125,54
125,55
125,75
125,76
125,77
125,93
125,94
125,95
125,96
125,97
125,98
126,2
126,3
126,4
126,5
126,6
126,7
126,8
126,9
126,10
126,11
126,12
126,13
126,14
126,15
126,16
126,17
126,18
126,19
126,27
126,28
126,29
126,53
126,54
126,55
126,75
126,76
126,77
126,93
126,94
126,95
126,96
126,97
126,98
127,2
127,3
127,4
127,75
127,76
127,77
128,35
128,36
128,37
128,38
128,39
128,40
128,41
128,42
128,43
128,44
128,45
128,46
128,47
128,48
128,49
128,50
128,51
128,52
128,54
128,55
128,56
128,75
128,76
128,77
129,20
129,21
129,22
129,35
129,36
129,37
129,38
129,39
129,40
129,41
129,42
129,43
129,44
129,45
129,46
129,47
129,48
129,49
129,50
129,51
129,52
129,54
129,55
129,56
129,60
129,61
129,62
129,63
129,64
129,65
129,66
129,67
129,68
129,69
129,75
129,76
129,77
130,20
130,21
130,22
130,35
130,36
130,37
130,38
130,39
130,40
130,41
130,42
130,43
130,44
130,45
130,46
130,47
130,48
130,49
130,60
130,61
130,62
130,63
130,64
130,65
130,66
130,67
130,68
130,69
130,75
130,76
130,77
130,93
130,94
130,95
130,96
130,97
130,98
131,20
131,21
131,22
131,30
131,31
131,32
131,33
131,34
131,35
131,36
131,37
131,38
131,39
131,40
131,41
131,42
131,43
131,44
131,54
131,55
131,56
131,60
131,61
131,62
131,63
131,64
131,65
131,66
131,67
131,68
131,69
131,93
131,94
131,95
131,96
131,97
131,98
132,2
132,3
132,4
132,20
132,21
132,22
132,30
132,31
132,32
132,33
132,34
132,35
132,36
132,37
132,38
132,39
132,40
132,41
132,42
132,43
132,44
132,54
132,55
132,56
132,60
132,61
132,62
132,63
132,64
132,65
132,66
132,67
132,68
132,69
132,72
132,73
132,74
133,2
133,3
133,4
133,11
133,12
133,13
133,20
133,21
133,22
133,30
133,31
133,32
133,33
133,34
133,35
133,36
133,37
133,38
133,39
133,40
133,41
133,42
133,43
133,44
133,54
133,55
133,56
133,60
133,61
133,62
133,63
133,64
133,65
133,66
133,67
133,68
133,69
133,72
133,73
133,74
134,2
134,3
134,4
134,11
134,12
134,13
134,20
134,21
134,22
134,40
134,41
134,42
134,43
134,44
134,45
134,46
134,47
134,48
134,49
134,50
134,51
134,52
134,54
134,55
134,56
135,2
135,3
135,4
135,27
135,28
135,29
135,40
135,41
135,42
135,43
135,44
135,45
135,46
135,47
135,48
135,49
135,50
135,51
135,52
135,53
135,54
135,55
135,75
135,76
135,77
135,93
135,94
135,95
135,96
135,97
135,98
136,2
136,3
136,4
136,27
136,28
136,29
136,40
136,41
136,42
136,43
136,44
136,45
136,46
136,47
136,48
136,49
136,53
136,54
136,55
136,75
136,76
136,77
136,93
136,94
136,95
136,96
136,97
136,98
137,2
137,3
137,4
137,40
137,41
137,42
137,43
137,44
137,45
137,46
137,47
137,48
137,49
137,75
137,76
137,77
138,40
138,41
138,42
138,43
138,44
138,45
138,46
138,47
138,48
138,49
138,50
138,51
138,52
138,54
138,55
138,56
138,75
138,76
138,77
138,78
138,79
138,80
138,81
138,82
138,83
138,84
138,85
138,86
138,87
138,88
138,89
138,90
138,91
138,92
139,20
139,21
139,22
139,50
139,51
139,52
139,54
139,55
139,56
139,75
139,76
139,77
139,78
139,79
139,80
139,81
139,82
139,83
139,84
139,85
139,86
139,87
139,88
139,89
139,90
139,91
139,92
140,20
140,21
140,22
140,30
140,31
140,32
140,33
140,34
140,35
140,36
140,37
140,38
140,39
140,75
140,76
140,77
140,78
140,79
140,80
140,81
140,82
140,83
140,84
140,85
140,86
140,87
140,88
140,89
140,90
140,91
140,92
140,93
140,94
140,95
140,96
140,97
140,98
141,20
141,21
141,22
141,30
141,31
141,32
141,33
141,34
141,35
141,36
141,37
141,38
141,39
141,54
141,55
141,56
141,93
141,94
141,95
141,96
141,97
141,98
142,2
142,3
142,4
142,20
142,21
142,22
142,30
142,31
142,32
142,33
142,34
142,35
142,36
142,37
142,38
142,39
142,54
142,55
142,56
142,72
142,73
142,74
143,2
143,3
143,4
143,11
143,12
143,13
143,20
143,21
143,22
143,30
143,31
143,32
143,33
143,34
143,35
143,36
143,37
143,38
143,39
143,54
143,55
143,56
143,72
143,73
143,74
144,2
144,3
144,4
144,11
144,12
144,13
144,20
144,21
144,22
144,30
144,31
144,32
144,33
144,34
144,35
144,36
144,37
144,38
144,39
144,50
144,51
144,52
144,54
144,55
144,56
144,78
144,79
144,80
144,81
144,82
144,83
144,84
144,85
144,86
144,87
144,88
144,89
144,90
144,91
144,92
145,2
145,3
145,4
145,5
145,6
145,7
145,8
145,9
145,10
145,11
145,12
145,13
145,14
145,15
145,16
145,17
145,18
145,19
145,27
145,28
145,29
145,50
145,51
145,52
145,75
145,76
145,77
145,78
145,79
145,80
145,81
145,82
145,83
145,84
145,85
145,86
145,87
145,88
145,89
145,90
145,91
145,92
145,93
145,94
145,95
145,96
145,97
145,98
146,2
146,3
146,4
146,5
146,6
146,7
146,8
146,9
146,10
146,11
146,12
146,13
146,14
146,15
146,16
146,17
146,18
146,19
146,27
146,28
146,29
146,75
146,76
146,77
146,78
146,79
146,80
146,81
146,82
146,83
146,84
146,85
146,86
146,87
146,88
146,89
146,90
146,91
146,92
146,93
146,94
146,95
146,96
146,97
146,98
147,2
147,3
147,4
147,5
147,6
147,7
147,8
147,9
147,10
147,11
147,12
147,13
147,14
147,15
147,16
147,17
147,18
147,19
147,46
147,47
147,48
147,93
147,94
147,95
148,46
148,47
148,48
148,50
148,51
148,52
148,54
148,55
148,56
148,57
148,58
148,59
148,60
148,61
148,62
148,63
148,64
148,65
148,66
148,67
148,68
148,69
148,70
148,71
148,93
148,94
148,95
149,50
149,51
149,52
149,54
149,55
149,56
149,57
149,58
149,59
149,60
149,61
149,62
149,63
149,64
149,65
149,66
149,67
149,68
149,69
149,70
149,71
150,5
150,6
150,7
150,8
150,9
150,10
150,11
150,12
150,13
150,14
150,15
150,16
150,17
150,18
150,19
150,52
150,53
150,54
150,57
150,58
150,59
150,60
150,61
150,62
150,63
150,64
150,65
150,66
150,67
150,68
150,69
150,70
150,71
150,93
150,94
150,95
150,96
150,97
150,98
151,5
151,6
151,7
151,8
151,9
151,10
151,11
151,12
151,13
151,14
151,15
151,16
151,17
151,18
151,19
151,52
151,53
151,54
151,93
151,94
151,95
151,96
151,97
151,98
152,2
152,3
152,4
152,5
152,6
152,7
152,8
152,9
152,10
152,11
152,12
152,13
152,14
152,15
152,16
152,17
152,18
152,19
152,72
152,73
152,74
153,2
153,3
153,4
153,11
153,12
153,13
153,20
153,21
153,22
153,72
153,73
153,74
154,2
154,3
154,4
154,11
154,12
154,13
154,20
154,21
154,22
154,50
154,51
154,52
155,2
155,3
155,4
155,27
155,28
155,29
155,50
155,51
155,52
155,75
155,76
155,77
155,78
155,79
155,80
155,81
155,82
155,83
155,84
155,85
155,86
155,87
155,88
155,89
155,90
155,91
155,92
155,93
155,94
155,95
155,96
155,97
155,98
156,2
156,3
156,4
156,27
156,28
156,29
156,57
156,58
156,59
156,60
156,61
156,62
156,63
156,64
156,65
156,66
156,67
156,68
156,69
156,70
156,71
156,75
156,76
156,77
156,78
156,79
156,80
156,81
156,82
156,83
156,84
156,85
156,86
156,87
156,88
156,89
156,90
156,91
156,92
156,93
156,94
156,95
156,96
156,97
156,98
157,2
157,3
157,4
157,46
157,47
157,48
157,57
157,58
157,59
157,60
157,61
157,62
157,63
157,64
157,65
157,66
157,67
157,68
157,69
157,70
157,71
157,78
157,79
157,80
157,81
157,82
157,83
157,84
157,85
157,86
157,87
157,88
157,89
157,90
157,91
157,92
157,93
157,94
157,95
158,46
158,47
158,48
158,50
158,51
158,52
158,54
158,55
158,56
158,57
158,58
158,59
158,60
158,61
158,62
158,63
158,64
158,65
158,66
158,67
158,68
158,69
158,70
158,71
158,93
158,94
158,95
159,50
159,51
159,52
159,54
159,55
159,56
159,57
159,58
159,59
159,60
159,61
159,62
159,63
159,64
159,65
159,66
159,67
159,68
159,69
159,70
159,71
160,52
160,53
160,54
160,57
160,58
160,59
160,60
160,61
160,62
160,63
160,64
160,65
160,66
160,67
160,68
160,69
160,70
160,71
160,96
160,97
160,98
161,52
161,53
161,54
161,57
161,58
161,59
161,60
161,61
161,62
161,63
161,64
161,65
161,66
161,67
161,68
161,69
161,70
161,71
161,96
161,97
161,98
162,2
162,3
162,4
162,72
162,73
162,74
163,2
163,3
163,4
163,11
163,12
163,13
163,20
163,21
163,22
163,72
163,73
163,74
164,2
164,3
164,4
164,11
164,12
164,13
164,20
164,21
164,22
164,50
164,51
164,52
165,2
165,3
165,4
165,27
165,28
165,29
165,35
165,36
165,37
165,38
165,39
165,40
165,41
165,42
165,43
165,44
165,50
165,51
165,52
165,75
165,76
165,77
165,93
165,94
165,95
165,96
165,97
165,98
166,2
166,3
166,4
166,27
166,28
166,29
166,35
166,36
166,37
166,38
166,39
166,40
166,41
166,42
166,43
166,44
166,75
166,76
166,77
166,93
166,94
166,95
166,96
166,97
166,98
167,2
167,3
167,4
167,5
167,6
167,7
167,8
167,9
167,10
167,11
167,12
167,13
167,14
167,15
167,16
167,17
167,18
167,19
167,35
167,36
167,37
167,38
167,39
167,40
167,41
167,42
167,43
167,44
167,46
167,47
167,48
167,93
167,94
167,95
168,5
168,6
168,7
168,8
168,9
168,10
168,11
168,12
168,13
168,14
168,15
168,16
168,17
168,18
168,19
168,22
168,23
168,24
168,35
168,36
168,37
168,38
168,39
168,40
168,41
168,42
168,43
168,44
168,46
168,47
168,48
168,50
168,51
168,52
168,54
168,55
168,56
168,93
168,94
168,95
169,5
169,6
169,7
169,8
169,9
169,10
169,11
169,12
169,13
169,14
169,15
169,16
169,17
169,18
169,19
169,22
169,23
169,24
169,35
169,36
169,37
169,38
169,39
169,40
169,41
169,42
169,43
169,44
169,50
169,51
169,52
169,54
169,55
169,56
169,80
169,81
169,82
169,83
169,84
169,85
169,86
169,87
169,88
169,89
170,52
170,53
170,54
170,55
170,56
170,57
170,58
170,59
170,60
170,61
170,62
170,63
170,64
170,65
170,66
170,67
170,68
170,69
170,80
170,81
170,82
170,83
170,84
170,85
170,86
170,87
170,88
170,89
170,96
