SHEET: Sheet1 rows=151 cols=5
('用频装备编号', '频段区间', '时间区间', '间隔时长', '使用次数')
('A001', '[80,90)', '[35,40)', 60, 3)
('B030', '[15,30)', '[384,387)', 40, 4)
('B031', '[83,98)', '[415,418)', 40, 4)
('B032', '[67,82)', '[427,430)', 40, 4)
('B033', '[52,67)', '[430,433)', 40, 4)
('B034', '[30,45)', '[445,448)', 40, 4)
('B035', '[15,30)', '[457,460)', 40, 4)
('B036', '[0,15)', '[495,498)', 40, 4)
('B037', '[58,73)', '[462,465)', 40, 4)
('B038', '[40,55)', '[485,488)', 40, 4)
('B039', '[20,35)', '[477,480)', 40, 4)
('B040', '[5,20)', '[424,427)', 40, 4)
('C001', '[90,93)', '[40,42)', 8, 12)
('C002', '[82,85)', '[27,29)', 8, 12)
('C003', '[75,78)', '[29,31)', 8, 12)
('C004', '[60,63)', '[31,33)', 8, 12)
('C005', '[55,58)', '[33,35)', 8, 12)
('C006', '[47,50)', '[25,27)', 8, 12)
('C007', '[35,38)', '[2,4)', 8, 12)
('C008', '[20,23)', '[29,31)', 8, 12)
('C009', '[13,16)', '[31,33)', 8, 12)
('C010', '[4,7)', '[8,10)', 8, 12)
('C011', '[96,99)', '[80,82)', 8, 12)
('C012', '[83,86)', '[65,67)', 8, 12)
('C013', '[70,73)', '[75,77)', 8, 12)
('C014', '[65,68)', '[92,94)', 8, 12)
('C015', '[50,53)', '[110,112)', 8, 12)
('C016', '[42,45)', '[88,90)', 8, 12)
('C017', '[36,39)', '[95,97)', 8, 12)
('C018', '[20,23)', '[107,109)', 8, 12)
('C019', '[12,15)', '[86,88)', 8, 12)
('C020', '[2,5)', '[65,67)', 8, 12)
('C021', '[95,98)', '[125,127)', 8, 12)
('C022', '[86,89)', '[147,149)', 8, 12)
('C023', '[76,79)', '[171,173)', 8, 12)
('C024', '[62,65)', '[150,152)', 8, 12)
('C025', '[54,57)', '[132,134)', 8, 12)
('C026', '[46,49)', '[145,147)', 8, 12)
('C027', '[33,36)', '[165,167)', 8, 12)
('C028', '[24,27)', '[168,170)', 8, 12)
('C029', '[11,14)', '[137,139)', 8, 12)
('C030', '[6,9)', '[122,124)', 8, 12)
('C031', '[94,97)', '[265,267)', 8, 12)
('C032', '[86,89)', '[246,248)', 8, 12)
('C033', '[74,77)', '[252,254)', 8, 12)
('C034', '[62,65)', '[294,296)', 8, 12)
('C035', '[57,60)', '[272,274)', 8, 12)
('C036', '[46,49)', '[266,268)', 8, 12)
('C037', '[31,34)', '[270,272)', 8, 12)
('C038', '[22,25)', '[285,287)', 8, 12)
('C039', '[16,19)', '[264,266)', 8, 12)
('C040', '[5,8)', '[242,244)', 8, 12)
('C041', '[90,93)', '[303,305)', 8, 12)
('C042', '[83,86)', '[326,328)', 8, 12)
('C043', '[72,75)', '[253,255)', 8, 12)
('C044', '[66,69)', '[334,336)', 8, 12)
('C045', '[53,56)', '[317,319)', 8, 12)
('C046', '[42,45)', '[327,329)', 8, 12)
('C047', '[36,39)', '[341,343)', 8, 12)
('C048', '[21,24)', '[346,348)', 8, 12)
('C049', '[17,20)', '[313,315)', 8, 12)
('C050', '[5,8)', '[306,308)', 8, 12)
('C051', '[94,97)', '[225,227)', 8, 12)
('C052', '[86,89)', '[204,206)', 8, 12)
('C053', '[71,74)', '[213,215)', 8, 12)
('C054', '[64,67)', '[218,220)', 8, 12)
('C055', '[52,55)', '[213,215)', 8, 12)
('C056', '[41,44)', '[202,204)', 8, 12)
('C057', '[32,35)', '[185,187)', 8, 12)
('C058', '[24,27)', '[218,220)', 8, 12)
('C059', '[16,19)', '[201,203)', 8, 12)
('C060', '[2,5)', '[198,200)', 8, 12)
('C061', '[90,93)', '[450,452)', 8, 12)
('C062', '[86,89)', '[420,422)', 8, 12)
('C063', '[73,76)', '[433,435)', 8, 12)
('C064', '[61,64)', '[455,457)', 8, 12)
('C065', '[54,57)', '[478,480)', 8, 12)
('C066', '[45,48)', '[442,444)', 8, 12)
('C067', '[33,36)', '[451,453)', 8, 12)
('C068', '[27,30)', '[461,463)', 8, 12)
('C069', '[15,18)', '[441,443)', 8, 12)
('C070', '[6,9)', '[415,417)', 8, 12)
('C071', '[92,95)', '[390,392)', 8, 12)
('C072', '[86,89)', '[386,388)', 8, 12)
('C073', '[77,80)', '[398,400)', 8, 12)
('C074', '[64,67)', '[396,398)', 8, 12)
('C075', '[57,60)', '[391,393)', 8, 12)
('C076', '[43,46)', '[384,386)', 8, 12)
('C077', '[31,34)', '[361,363)', 8, 12)
('C078', '[26,29)', '[389,391)', 8, 12)
('C079', '[17,20)', '[391,393)', 8, 12)
('C080', '[0,3)', '[368,370)', 8, 12)
('C081', '[95,98)', '[485,487)', 8, 12)
('C082', '[82,85)', '[507,509)', 8, 12)
('C083', '[71,74)', '[531,533)', 8, 12)
('C084', '[67,70)', '[510,512)', 8, 12)
('C085', '[51,54)', '[492,494)', 8, 12)
('C086', '[42,45)', '[405,407)', 8, 12)
('C087', '[37,40)', '[525,527)', 8, 12)
('C088', '[21,24)', '[528,530)', 8, 12)
('C089', '[15,18)', '[497,499)', 8, 12)
('C090', '[3,6)', '[482,484)', 8, 12)
