paper_id,contest,year,group,problem,team_or_public_id,title,source_url,award_evidence_url,source_type,provenance,award_status,fulltext_path,identity_or_sha256,text_read_status,visually_checked_pages,read_status,access_date,license_or_reuse_note
CUMCM2024-A016,CUMCM,2024,本科,A,A016,2024 CUMCM A016 官方展示（正文标题待读）,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977931.shtml,,official_showcase,unverified,UNVERIFIED,,CUMCM:2024:official-display:A016,NOT_READ,,INDEXED,2026-09-09,官方公开页面；禁止未经许可转载。仅本地研究。展示身份已核实；国一等级尚需同篇证据，不自动推断。
CUMCM2024-A053,CUMCM,2024,本科,A,A053,2024 CUMCM A053 官方展示（正文标题待读）,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977933.shtml,,official_showcase,unverified,UNVERIFIED,,CUMCM:2024:official-display:A053,NOT_READ,,INDEXED,2026-09-09,官方公开页面；禁止未经许可转载。仅本地研究。展示身份已核实；国一等级尚需同篇证据，不自动推断。
CUMCM2024-B159,CUMCM,2024,本科,B,B159,生产过程中的决策优化设计,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977943.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-B159,CUMCM:2024:official-display:B159,BODY_READ,P1-25,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,37张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-B195,CUMCM,2024,本科,B,B195,基于多阶段模拟仿真的生产决策问题,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977945.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-B195,CUMCM:2024:official-display:B195,BODY_READ,P1-25,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,70张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-B196,CUMCM,2024,本科,B,B196,基于蚁群算法与遗传算法优化的蒙特卡洛模拟在生产决策优化中的应用研究,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977950.shtml,https://dxs.moe.gov.cn/zx/a/hd_sxjm_smtd/241223/1985118.shtml,official_showcase,independently_verified,VERIFIED_NATIONAL_FIRST,references/papers/CUMCM2024-B196,CUMCM:2024:official-display:B196,BODY_READ,physical=printed:1-28,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,同篇依据：官方展示P1标题与华南理工大学2024-12-23报道的论文全名完全一致；报道明确2024国一及B题优秀论文；28张原页已取得；正文1-23和参考文献24已读；附录25-28视觉阅读未运行；不转载。
CUMCM2024-C038,CUMCM,2024,本科,C,C038,基于差分遗传算法的农作物种植策略优化,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977952.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-C038,CUMCM:2024:official-display:C038,BODY_READ,P1-47,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,61张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-C234,CUMCM,2024,本科,C,C234,基于遗传算法的最优种植策略,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977963.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-C234,CUMCM:2024:official-display:C234,BODY_READ,P1-27,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,45张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-C063,CUMCM,2024,本科,C,C063,基于优化算法的农作物最优种植模型,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977958.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-C063,CUMCM:2024:official-display:C063,BODY_READ,P1-35,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,49张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-C094,CUMCM,2024,本科,C,C094,2024 CUMCM C094 官方展示（正文标题待读）,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977961.shtml,,official_showcase,unverified,UNVERIFIED,,CUMCM:2024:official-display:C094,NOT_READ,,INDEXED,2026-09-09,官方公开页面；禁止未经许可转载。仅本地研究。展示身份已核实；国一等级尚需同篇证据，不自动推断。
CUMCM2024-D033,CUMCM,2024,高职高专,D,D033,反潜航空深弹命中概率的优化问题,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024dtlw/241104/1977965.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-D033,CUMCM:2024:official-display:D033,BODY_READ,physical=printed:1-24;55,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,完整原页取得且逐页hash核对；正文读完及五类功能页实际视查，范围见cards；附录未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2024-E010,CUMCM,2024,高职高专,E,E010,交通流量管控,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977967.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-E010,CUMCM:2024:official-display:E010,BODY_READ,physical:1-29;39; printed:2-29;39 (P1 number not visible),COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,完整原页取得且逐页hash核对；正文读完及五类功能页实际视查，范围见cards；附录未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2024-E218,CUMCM,2024,高职高专,E,E218,基于Python语言的交通流量管控与预测分析,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977971.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-E218,CUMCM:2024:official-display:E218,BODY_READ,physical=printed:1-29,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,完整原页取得且逐页hash核对；正文读完及五类功能页实际视查，范围见cards；附录未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2024-E061,CUMCM,2024,高职高专,E,E061,基于多目标优化的交通管理评估分析,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977969.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-E061,CUMCM:2024:official-display:E061,BODY_READ,physical=printed:1-18,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,完整原页取得且逐页hash核对；正文读完及五类功能页实际视查，范围见cards；附录未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2025_USER_MINE,CUMCM,2025,高职高专,D,TBD,矿井多源突水条件下的水流漫延建模与最优路径优化研究,user-provided:CUMCM2024_2025_语料交接与增量审计包.zip#seeds/CUMCM2025_USER_MINE/paper.pdf,,用户提供,user_confirmed,USER_CONFIRMED_NATIONAL_FIRST,references/papers/CUMCM2025_USER_MINE/paper.pdf,c5de2708f65f5ebdc06557b45c77f7b4304fbe38a680100d6934f4b8de78b35d,BODY_READ,physical=printed:1;3;5;10;15;20;22,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,用户明确确认2025国一；32页PDF可解析且SHA256与原metadata一致；正文P1–22及文献P23已读；P24–32代码附录未逐行读未运行；不同于D037题名/正文/页数，不因同题自动合并；不得公开转载。
