频段起点,时间起点
20,6
20,7
20,15
20,16
20,17
20,25
20,26
20,27
20,35
20,36
20,37
20,45
20,46
20,47
20,55
20,56
20,65
20,66
20,150
20,151
20,466
20,510
20,511
20,520
20,521
20,530
20,531
21,5
21,6
21,7
21,15
21,16
21,17
21,25
21,26
21,27
21,35
21,36
21,37
21,45
21,46
21,47
21,55
21,56
21,65
21,66
21,150
21,151
21,403
21,404
21,413
21,414
21,423
21,424
21,433
21,434
21,443
21,444
21,453
21,454
21,463
21,464
21,465
21,466
21,473
21,474
21,475
21,476
21,483
21,484
21,485
21,486
21,493
21,494
21,495
21,496
21,503
21,504
21,505
21,506
21,510
21,511
21,512
21,513
21,514
21,515
21,516
21,520
21,521
21,522
21,523
21,524
21,525
21,526
21,530
21,531
22,5
22,6
22,7
22,15
22,16
22,17
22,25
22,26
22,27
22,35
22,36
22,37
22,45
22,46
22,47
22,55
22,56
22,65
22,66
22,150
22,151
22,403
22,404
22,413
22,414
22,423
22,424
22,433
22,434
22,443
22,444
22,453
22,454
22,463
22,464
22,465
22,473
22,474
22,475
22,483
22,484
22,485
22,493
22,494
22,495
22,503
22,504
22,505
22,513
22,514
22,515
22,523
22,524
22,525
23,0
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
23,40
23,41
23,42
23,43
23,44
23,45
23,46
23,47
23,48
23,49
23,50
23,51
23,52
23,53
23,54
23,55
23,56
23,60
23,61
23,62
23,63
23,64
23,65
23,66
23,70
23,71
23,72
23,73
23,80
23,81
23,82
23,83
23,90
23,91
23,92
23,93
23,433
23,434
23,443
23,444
23,453
23,454
23,463
23,464
23,473
23,474
23,475
23,483
23,484
23,485
23,493
23,494
23,495
23,503
23,504
23,505
23,513
23,514
23,515
23,523
23,524
23,525
24,0
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,24
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
24,40
24,41
24,42
24,43
24,44
24,45
24,46
24,47
24,48
24,49
24,50
24,51
24,52
24,53
24,54
24,55
24,56
24,60
24,61
24,62
24,63
24,64
24,65
24,66
24,70
24,71
24,72
24,73
24,80
24,81
24,82
24,83
24,90
24,91
24,92
24,93
24,453
24,454
24,463
24,464
24,473
24,474
24,483
24,484
24,493
24,494
24,495
24,503
24,504
24,505
24,509
24,513
24,514
24,515
24,519
24,523
24,524
24,525
24,529
25,0
25,1
25,2
25,3
25,7
25,8
25,9
25,10
25,11
25,12
25,13
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,37
25,38
25,39
25,40
25,41
25,42
25,43
25,47
25,48
25,49
25,50
25,51
25,52
25,53
25,57
25,58
25,59
25,60
25,61
25,62
25,63
25,67
25,68
25,69
25,70
25,71
25,72
25,73
25,77
25,78
25,79
25,80
25,81
25,82
25,83
25,90
25,91
25,92
25,93
25,453
25,463
25,473
25,483
25,493
25,503
25,513
25,523
26,0
26,1
26,2
26,3
26,7
26,8
26,9
26,10
26,11
26,12
26,13
26,17
26,18
26,19
26,20
26,21
26,22
26,23
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,37
26,38
26,39
26,40
26,41
26,42
26,43
26,47
26,48
26,49
26,50
26,51
26,52
26,53
26,57
26,58
26,59
26,60
26,61
26,62
26,63
26,67
26,68
26,69
26,70
26,71
26,72
26,73
26,77
26,78
26,79
26,80
26,81
26,82
26,83
26,90
26,91
26,92
26,93
26,453
26,463
26,473
26,483
26,493
26,503
26,513
26,523
27,0
27,1
27,2
27,3
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,37
27,38
27,39
27,40
27,41
27,42
27,43
27,47
27,48
27,49
27,50
27,51
27,52
27,53
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,77
27,78
27,79
27,80
27,81
27,82
27,83
27,90
27,91
27,92
27,93
27,453
27,463
27,473
27,483
27,493
27,497
27,503
27,507
27,513
27,517
27,523
27,527
28,1
28,2
28,3
28,11
28,12
28,13
29,1
29,2
29,3
29,11
29,12
29,13
30,530
30,531
31,530
31,531
32,530
32,531
33,530
33,531
34,530
34,531
35,530
35,531
36,530
36,531
37,530
37,531
38,530
38,531
39,530
39,531
40,529
40,530
40,531
41,319
41,329
41,529
41,530
41,531
42,319
42,329
42,529
42,530
42,531
43,319
43,329
43,529
43,530
43,531
44,319
44,329
44,529
44,530
45,189
45,190
45,276
45,277
45,286
45,287
45,296
45,297
45,306
45,307
45,316
45,317
45,318
45,319
45,326
45,327
45,328
45,329
45,337
45,338
45,339
45,347
45,348
45,349
45,357
45,358
45,359
45,460
45,470
45,480
45,490
45,500
45,510
45,520
45,530
46,189
46,190
46,276
46,277
46,286
46,287
46,296
46,297
46,306
46,307
46,316
46,317
46,318
46,319
46,326
46,327
46,328
46,329
46,337
46,338
46,339
46,347
46,348
46,349
46,357
46,358
46,359
46,460
46,470
46,480
46,490
46,500
46,510
46,520
46,530
47,189
47,190
47,319
47,329
47,339
47,349
47,359
47,510
47,520
47,530
48,190
48,319
48,329
48,339
48,349
48,359
48,494
48,495
48,496
49,190
49,234
49,244
49,254
49,264
49,274
49,275
49,284
49,285
49,294
49,295
49,304
49,305
49,314
49,315
49,319
49,324
49,325
49,329
49,334
49,335
49,339
49,344
49,345
49,349
49,354
49,355
49,359
49,364
49,365
49,393
49,403
49,413
49,423
49,433
49,443
49,453
49,494
49,495
49,496
50,0
50,1
50,2
50,6
50,10
50,11
50,12
50,16
50,20
50,21
50,22
50,26
50,30
50,31
50,32
50,36
50,42
50,46
50,52
50,56
50,62
50,66
50,72
50,76
50,82
50,86
50,96
50,269
50,270
50,279
50,289
50,299
50,309
50,319
50,329
50,339
50,349
51,0
51,1
51,2
51,10
51,11
51,12
51,20
51,21
51,22
51,30
51,31
51,32
51,42
51,52
51,62
51,72
51,82
51,269
51,270
51,279
51,289
51,299
51,309
51,319
51,329
51,339
51,349
52,248
52,258
52,268
52,269
52,270
52,278
52,279
52,280
52,288
52,289
52,290
52,298
52,299
52,300
52,308
52,309
52,310
52,318
52,319
52,320
52,328
52,329
52,330
52,338
52,339
52,348
52,349
53,7
53,8
53,9
54,7
54,8
54,9
55,266
56,266
57,266
67,437
67,447
67,448
67,457
67,458
67,467
67,468
67,477
67,478
67,482
67,483
67,487
67,488
67,492
67,493
67,497
67,498
67,502
67,503
67,507
67,508
67,512
67,513
67,517
67,518
67,522
67,523
67,527
67,528
68,448
68,458
68,468
68,478
68,482
68,483
68,488
68,492
68,493
68,498
68,502
68,503
68,508
68,512
68,513
68,517
68,518
68,522
68,523
68,527
68,528
69,448
69,458
69,468
69,478
69,483
69,488
69,493
69,498
69,503
69,508
69,513
69,517
69,518
69,523
69,527
69,528
70,370
70,371
70,372
70,380
70,381
70,382
70,390
70,391
70,392
70,400
70,401
70,402
70,410
70,411
70,412
70,453
70,454
70,463
70,464
70,473
70,474
70,483
70,484
70,493
70,494
70,503
70,504
70,513
70,514
70,515
70,516
70,517
70,518
70,519
70,523
70,524
70,525
70,526
70,527
70,528
70,529
71,370
71,371
71,380
71,381
71,390
71,391
71,400
71,401
71,410
71,411
71,515
71,516
71,517
71,518
71,519
71,525
71,526
71,527
71,528
71,529
72,0
72,4
72,5
72,6
72,7
72,8
72,9
72,10
72,14
72,15
72,16
72,17
72,18
72,19
72,20
72,24
72,25
72,26
72,27
72,28
72,29
72,30
72,34
72,35
72,36
72,37
72,38
72,39
72,40
72,44
72,45
72,46
72,47
72,48
72,49
72,50
72,54
72,55
72,56
72,57
72,58
72,59
72,60
72,70
72,80
72,90
72,100
72,110
72,120
72,185
72,186
72,187
72,188
72,370
72,371
72,380
72,381
72,390
72,391
72,400
72,401
72,410
72,411
72,515
72,516
72,517
72,518
72,519
72,525
72,526
72,527
72,528
72,529
73,187
73,188
73,316
73,370
73,371
73,380
73,381
73,390
73,391
73,400
73,401
73,410
73,411
73,495
73,496
74,187
74,188
75,1
75,2
75,3
75,11
75,12
75,13
75,21
75,22
75,23
75,31
75,32
75,33
75,41
75,42
75,43
75,51
75,52
75,53
75,63
75,73
75,83
75,93
75,147
75,148
75,149
75,157
75,158
75,159
75,167
75,168
75,169
75,177
75,178
75,179
75,187
75,188
75,189
75,195
75,205
75,215
75,225
75,235
75,245
75,255
85,479
85,489
85,499
85,509
85,510
85,511
85,519
85,520
85,521
85,522
85,529
85,530
85,531
86,479
86,489
86,499
86,509
86,510
86,511
86,519
86,520
86,521
86,522
86,529
86,530
86,531
87,479
87,489
87,499
87,509
87,510
87,511
87,519
87,520
87,521
87,522
87,529
87,530
87,531
88,479
88,489
88,499
88,509
88,510
88,511
88,519
88,520
88,521
88,522
88,529
88,530
88,531
89,522
90,522
91,392
91,402
91,412
91,422
91,432
91,433
91,434
91,442
91,443
91,444
91,445
91,452
91,453
91,454
91,455
91,462
91,463
91,464
91,465
91,472
91,473
91,474
91,475
91,482
91,483
91,484
91,485
91,492
91,493
91,494
91,495
91,502
91,503
91,504
91,505
91,512
91,513
91,514
91,515
91,522
91,523
91,524
91,525
92,392
92,402
92,412
92,422
92,432
92,433
92,434
92,442
92,443
92,444
92,445
92,452
92,453
92,454
92,455
92,462
92,463
92,464
92,465
92,472
92,473
92,474
92,475
92,482
92,483
92,484
92,485
92,492
92,493
92,494
92,495
92,502
92,503
92,504
92,505
92,512
92,513
92,514
92,515
92,522
92,523
92,524
92,525
93,2
93,3
93,7
93,8
93,12
93,13
93,17
93,18
93,22
93,23
93,27
93,28
93,32
93,33
93,42
93,43
93,52
93,53
93,62
93,63
93,72
93,73
93,82
93,83
93,92
93,102
93,160
93,170
93,180
93,190
93,200
93,210
93,220
93,230
93,240
93,250
93,260
93,270
93,280
93,290
93,300
93,324
93,334
93,342
93,343
93,344
93,352
93,353
93,354
93,362
93,363
93,364
93,372
93,382
93,392
93,402
93,412
93,422
93,432
93,442
93,452
93,462
93,472
93,482
93,492
93,502
93,512
93,522
94,2
94,3
94,7
94,8
94,12
94,13
94,17
94,18
94,22
94,23
94,27
94,28
94,32
94,33
94,42
94,43
94,52
94,53
94,62
94,63
94,72
94,73
94,82
94,83
94,92
94,102
94,200
94,210
94,220
94,230
94,240
94,250
94,260
94,270
94,280
94,290
94,300
94,324
94,334
94,342
94,343
94,344
94,352
94,353
94,354
94,362
94,363
94,364
94,372
94,382
94,392
94,402
94,412
94,422
94,432
94,442
94,452
94,462
94,472
94,482
94,492
94,502
94,506
94,507
94,508
94,512
94,516
94,517
94,518
94,522
94,526
94,527
94,528
95,2
95,3
95,7
95,8
95,12
95,13
95,17
95,18
95,22
95,23
95,27
95,28
95,32
95,33
95,42
95,43
95,52
95,53
95,62
95,63
95,72
95,73
95,82
95,83
95,92
95,102
95,200
95,210
95,220
95,230
95,240
95,250
95,260
95,270
95,280
95,290
95,300
95,388
95,398
95,408
95,418
95,422
95,428
95,432
95,438
95,442
95,448
95,452
95,458
95,462
95,468
95,472
95,478
95,482
95,488
95,492
95,498
95,502
95,506
95,507
95,508
95,512
95,516
95,517
95,518
95,522
95,526
95,527
95,528
96,2
96,3
96,4
96,5
96,6
96,7
96,8
96,12
96,13
96,17
96,18
96,22
96,23
96,27
96,28
96,32
96,33
96,37
96,38
96,42
96,43
96,47
96,48
96,52
96,53
96,57
96,58
96,62
96,63
96,67
96,68
96,72
96,73
96,77
96,78
96,82
96,83
96,87
96,88
96,92
96,93
96,97
96,98
96,102
96,103
96,107
96,108
96,117
96,118
96,127
96,128
96,138
96,148
96,200
96,210
96,220
96,230
96,240
96,250
96,260
96,270
96,280
96,290
96,300
96,388
96,398
96,408
96,418
96,422
96,428
96,432
96,438
96,442
96,448
96,452
96,458
96,462
96,468
96,472
96,478
96,482
96,488
96,492
96,498
96,502
96,506
96,507
96,508
96,512
96,516
96,517
96,518
96,522
96,526
96,527
96,528
97,2
97,3
97,4
97,5
97,6
97,7
97,8
97,12
97,13
97,17
97,18
97,22
97,23
97,27
97,28
97,32
97,33
97,37
97,38
97,42
97,43
97,47
97,48
97,52
97,53
97,57
97,58
97,62
97,63
97,67
97,68
97,72
97,73
97,77
97,78
97,82
97,83
97,87
97,88
97,92
97,93
97,97
97,98
97,102
97,103
97,107
97,108
97,112
97,113
97,117
97,118
97,122
97,123
97,127
97,128
97,132
97,133
97,138
97,142
97,143
97,148
97,152
97,153
97,158
97,162
97,163
97,168
97,172
97,173
97,178
97,182
97,183
97,188
97,198
97,199
97,200
97,201
97,208
97,209
97,210
97,211
97,218
97,219
97,220
97,221
97,228
97,229
97,230
97,231
97,238
97,239
97,240
97,241
97,248
97,249
97,250
97,251
97,258
97,259
97,260
97,261
97,268
97,269
97,270
97,271
97,278
97,279
97,280
97,281
97,288
97,289
97,290
97,291
97,298
97,299
97,300
97,301
97,308
97,309
97,310
97,311
97,318
97,319
97,320
97,321
97,328
97,329
97,330
97,331
97,338
97,339
97,340
97,341
97,348
97,349
97,350
97,351
97,358
97,359
97,360
97,361
97,368
97,369
97,370
97,371
97,378
97,379
97,380
97,381
97,388
97,389
97,390
97,391
97,398
97,399
97,400
97,401
97,408
97,409
97,410
97,411
97,418
97,419
97,420
97,421
97,422
97,428
97,429
97,430
97,431
97,432
97,438
97,439
97,440
97,441
97,442
97,448
97,449
97,450
97,451
97,452
97,458
97,459
97,460
97,461
97,462
97,468
97,469
97,470
97,471
97,472
97,478
97,479
97,480
97,481
97,482
97,488
97,489
97,490
97,491
97,492
97,498
97,499
97,500
97,501
97,502
97,506
97,507
97,508
97,509
97,510
97,511
97,512
97,516
97,517
97,518
97,519
97,520
97,521
97,522
97,526
97,527
97,528
97,529
97,530
97,531
