序号,冲突装备1,冲突装备2,事件重叠次数
142,B013,C015,1
143,B013,C025,2
144,B013,C026,1
145,B013,C036,1
146,B013,C055,1
147,B014,C017,1
148,B014,C027,1
149,B014,C037,1
150,B014,C056,1
151,B014,C057,1
152,B015,C018,1
153,B015,C028,1
154,B015,C038,2
155,B015,C039,1
156,B015,C058,1
157,B015,C059,1
158,B016,C021,1
159,B016,C022,1
160,B016,C031,1
161,B016,C041,2
162,B016,C042,1
163,B016,C051,1
164,B016,C052,1
165,B017,C014,1
166,B017,C033,1
167,B017,C043,1
168,B017,C054,1
169,B018,B023,2
170,B018,C026,1
171,B018,C036,1
172,B018,C055,1
173,B018,C056,1
174,B019,B024,2
175,B019,C028,1
176,B019,C058,1
177,B020,C019,2
178,B020,C020,1
179,B020,C029,1
180,B020,C030,1
181,B020,C040,1
182,B021,C031,1
183,B021,C032,1
184,B021,C041,1
185,B021,C042,1
186,B021,C051,1
187,B021,C052,1
188,B021,C072,1
189,B022,C033,1
190,B022,C044,1
191,B022,C054,1
192,B022,C073,1
193,B022,C074,1
194,B023,C034,1
195,B023,C035,2
196,B023,C045,1
197,B023,C074,1
198,B023,C075,1
199,B024,C037,1
200,B024,C046,1
201,B024,C047,1
202,B024,C076,1
203,B024,C077,1
204,B024,C086,1
205,B025,B040,2
206,B025,C049,1
207,B026,C031,1
208,B026,C042,1
209,B026,C061,1
210,B026,C062,2
211,B026,C071,2
212,B027,B032,2
213,B027,B033,2
214,B027,C033,1
215,B027,C043,1
216,B027,C044,2
217,B027,C063,1
218,B027,C073,1
219,B028,C036,1
220,B028,C045,2
221,B028,C066,1
222,B028,C075,1
223,B028,C076,1
224,B029,B034,2
225,B029,B038,1
226,B029,C046,1
227,B029,C047,1
228,B029,C076,1
229,B029,C077,1
230,B029,C086,2
231,B030,C038,1
232,B030,C048,2
233,B030,C049,1
234,B030,C068,1
235,B030,C069,1
236,B030,C078,2
237,B030,C079,1
238,B031,C042,1
239,B031,C061,2
240,B031,C062,2
241,B031,C071,2
242,B031,C072,1
243,B031,C081,1
244,B032,C063,1
245,B032,C073,1
246,B033,C064,2
247,B033,C065,2
248,B033,C075,1
249,B034,C067,1
250,B034,C076,1
251,B034,C086,1
252,B034,C087,1
253,B035,C048,1
254,B035,C068,1
255,B035,C069,1
256,B035,C078,2
257,B035,C079,1
258,B035,C088,1
259,B035,C089,1
260,B036,C070,1
261,B036,C090,1
262,B037,C064,1
263,B037,C074,1
264,B037,C075,1
265,B037,C083,1
266,B037,C084,2
267,B038,C065,1
268,B038,C076,1
269,B038,C085,1
270,B038,C086,1
271,B039,C067,1
272,B039,C068,1
273,B039,C078,1
274,B039,C088,1
275,B040,C049,1
276,B040,C069,1
277,B040,C070,1
278,B040,C090,2
279,C005,C025,2
280,C019,C029,7
281,C021,C051,2
282,C022,C032,2
283,C023,C033,4
284,C025,C055,4
285,C027,C057,10
286,C028,C058,7
287,C031,C051,8
288,C033,C043,12
289,C037,C077,3
290,C038,C048,6
291,C039,C049,7
292,C043,C053,8
293,C050,C070,1
294,C061,C071,6
295,C067,C077,3
296,C069,C079,7
297,C076,C086,10
