equipment_id,cls,f_lo,f_hi,t_first_lo,t_first_hi,gap,use_count,band_width,time_width
C006,C,47,50,25,27,8,12,3,2
C007,C,35,38,2,4,8,12,3,2
C008,C,20,23,29,31,8,12,3,2
C009,C,13,16,31,33,8,12,3,2
C010,C,4,7,8,10,8,12,3,2
C011,C,96,99,80,82,8,12,3,2
C012,C,83,86,65,67,8,12,3,2
C013,C,70,73,75,77,8,12,3,2
C014,C,65,68,92,94,8,12,3,2
C015,C,50,53,110,112,8,12,3,2
C016,C,42,45,88,90,8,12,3,2
C017,C,36,39,95,97,8,12,3,2
C018,C,20,23,107,109,8,12,3,2
C019,C,12,15,86,88,8,12,3,2
C020,C,2,5,65,67,8,12,3,2
C021,C,95,98,125,127,8,12,3,2
C022,C,86,89,147,149,8,12,3,2
C023,C,76,79,171,173,8,12,3,2
C024,C,62,65,150,152,8,12,3,2
C025,C,54,57,132,134,8,12,3,2
C026,C,46,49,145,147,8,12,3,2
C027,C,33,36,165,167,8,12,3,2
C028,C,24,27,168,170,8,12,3,2
C029,C,11,14,137,139,8,12,3,2
C030,C,6,9,122,124,8,12,3,2
C031,C,94,97,265,267,8,12,3,2
C032,C,86,89,246,248,8,12,3,2
C033,C,74,77,252,254,8,12,3,2
C034,C,62,65,294,296,8,12,3,2
C035,C,57,60,272,274,8,12,3,2
C036,C,46,49,266,268,8,12,3,2
C037,C,31,34,270,272,8,12,3,2
C038,C,22,25,285,287,8,12,3,2
C039,C,16,19,264,266,8,12,3,2
C040,C,5,8,242,244,8,12,3,2
C041,C,90,93,303,305,8,12,3,2
C042,C,83,86,326,328,8,12,3,2
C043,C,72,75,253,255,8,12,3,2
C044,C,66,69,334,336,8,12,3,2
C045,C,53,56,317,319,8,12,3,2
C046,C,42,45,327,329,8,12,3,2
C047,C,36,39,341,343,8,12,3,2
C048,C,21,24,346,348,8,12,3,2
C049,C,17,20,313,315,8,12,3,2
C050,C,5,8,306,308,8,12,3,2
C051,C,94,97,225,227,8,12,3,2
C052,C,86,89,204,206,8,12,3,2
C053,C,71,74,213,215,8,12,3,2
C054,C,64,67,218,220,8,12,3,2
C055,C,52,55,213,215,8,12,3,2
C056,C,41,44,202,204,8,12,3,2
C057,C,32,35,185,187,8,12,3,2
C058,C,24,27,218,220,8,12,3,2
C059,C,16,19,201,203,8,12,3,2
C060,C,2,5,198,200,8,12,3,2
C061,C,90,93,450,452,8,12,3,2
C062,C,86,89,420,422,8,12,3,2
C063,C,73,76,433,435,8,12,3,2
C064,C,61,64,455,457,8,12,3,2
C065,C,54,57,478,480,8,12,3,2
C066,C,45,48,442,444,8,12,3,2
C067,C,33,36,451,453,8,12,3,2
C068,C,27,30,461,463,8,12,3,2
C069,C,15,18,441,443,8,12,3,2
C070,C,6,9,415,417,8,12,3,2
C071,C,92,95,390,392,8,12,3,2
C072,C,86,89,386,388,8,12,3,2
C073,C,77,80,398,400,8,12,3,2
C074,C,64,67,396,398,8,12,3,2
C075,C,57,60,391,393,8,12,3,2
C076,C,43,46,384,386,8,12,3,2
C077,C,31,34,361,363,8,12,3,2
C078,C,26,29,389,391,8,12,3,2
C079,C,17,20,391,393,8,12,3,2
C080,C,0,3,368,370,8,12,3,2
C081,C,95,98,485,487,8,12,3,2
C082,C,82,85,507,509,8,12,3,2
C083,C,71,74,531,533,8,12,3,2
C084,C,67,70,510,512,8,12,3,2
C085,C,51,54,492,494,8,12,3,2
C086,C,42,45,405,407,8,12,3,2
C087,C,37,40,525,527,8,12,3,2
C088,C,21,24,528,530,8,12,3,2
C089,C,15,18,497,499,8,12,3,2
C090,C,3,6,482,484,8,12,3,2
